category_id,current_rank,rank_change,brand,product_name,rating,review_count,price,update_date
1,1,-,퓌,올데이 커버 블랙 쿠션 [SPF40/PA++],4.25,240,"28,000원",2026.09.06
1,2,-,에스쁘아,비 글로우 파운데이션 [SPF27/PA++],4.34,572,"42,000원",2026.09.06
1,3,+1,입생로랑 뷰티,뚜쉬 에끌라 글로우 팩트 쿠션 [SPF50+/PA++++],4.46,848,"114,000원",2026.09.06
1,4,+7,네이밍,올데이 마스터 쿠션 [SPF30/PA++],4.36,169,"34,000원",2026.09.06
1,5,+4,VDL,커버 스테인 퍼펙팅 쿠션 [SPF35/PA++],4.36,507,"34,000원",2026.09.06
1,6,+2,비디비치,블랙 퍼펙션 커버 핏 쿠션 [SPF40/PA++],4.41,226,"46,000원",2026.09.06
1,7,-1,헤라,실키 스테이 24H 롱웨어 파운데이션 [SPF20/PA++],4.43,1827,"70,000원",2026.09.06
1,8,+4,헤라,블랙 쿠션 파운데이션 [SPF34/PA++],4.38,1514,"74,000원",2026.09.06
1,9,+1,나스,네츄럴 매트 롱웨어 파운데이션,4.47,769,"82,000원",2026.09.06
1,10,-5,VDL,커버 스테인 퍼펙팅 파운데이션 [SPF35/PA++],4.35,1325,"34,000원",2026.09.06
1,11,-8,지베르니,밀착 커버 파운데이션 [SPF30/PA++],4.17,1463,"33,000원",2026.09.06
1,12,-5,롬앤,유에프오 커버 쿠션 [SPF40/PA++],3.94,79,"28,000원",2026.09.06
1,13,-,정샘물,에센셜 스킨 누더 쿠션 [SPF50+/PA+++],4.17,5137,"48,000원",2026.09.06
1,14,-,어바웃톤,스킨 레이어 핏 쿠션 [SPF30/PA++],4.34,387,"32,000원",2026.09.06
1,15,-,클리오,킬 커버 파운웨어 쿠션 [SPF40/PA++],4.21,233,"36,000원",2026.09.06
1,16,+15,웨이크메이크,스킨 퍼펙팅 커버 쿠션 [SPF40/PA++],4.61,36,"36,000원",2026.09.06
1,17,+1,지베르니,밀착 커버 쿠션 [SPF40+/PA+++],4.19,364,"37,000원",2026.09.06
1,18,-1,힌스,세컨 스킨 메쉬 매트 쿠션 [SPF40/PA++],4.31,1297,"34,000원",2026.09.06
1,19,+2,네이밍,레이어드 핏 쿠션 [SPF50+/PA+++],4.29,1410,"28,000원",2026.09.06
1,20,-1,어바웃톤,스킨 레이어 핏 파운데이션 [SPF30/PA++],4.38,1125,"28,000원",2026.09.06
2,1,-,루미르,라이트 온 아이즈 섀도우 팔레트,4.67,443,"39,000원",2026.09.06
2,2,+10,홀리카홀리카,소프튠 무드 팔레트,4.55,66,"5,000원",2026.09.06
2,3,-1,홀리카홀리카,마이페이브 피스 젤테일,4.63,271,"6,000원",2026.09.06
2,4,-1,홀리카홀리카,마이페이브 피스 섀도우 [매트],4.69,1346,"6,000원",2026.09.06
2,5,+2,투에이엔,베러 미 아이 팔레트,4.62,437,"23,000원",2026.09.06
2,6,-1,페리페라,(페리페라X인보라) 올테이크 무드 팔레트,4.59,145,"23,000원",2026.09.06
2,7,-3,프릴루드 딘토,노스탈지아 아이 팔레트,4.33,365,"5,000원",2026.09.06
